Section	Avg	Max	Min	Std	Count	Type
SPIRV Object	136106.8148148148	203608	90256	33782.86742513707	27	ELF
__TI_build_attributes	45.0	45	45	0.0	2	ELF
__bug_table	124860.0	124860	124860	0.0	1	ELF
__ex_table	20904.0	20904	20904	0.0	1	ELF
__kcrctab	19792.0	19792	19792	0.0	1	ELF
__kcrctab_gpl	21624.0	21624	21624	0.0	1	ELF
__ksymtab	59376.0	59376	59376	0.0	1	ELF
__ksymtab_gpl	64872.0	64872	64872	0.0	1	ELF
__ksymtab_strings	198578.0	198578	198578	0.0	1	ELF
__modver	184.0	184	184	0.0	1	ELF
__param	15840.0	15840	15840	0.0	1	ELF
