Type,File Path,File Name,Extension,Date Created,File Size (Bytes),Symbol Name,Symbol Size (Bytes),Symbol Size
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VPrintToPDFMessage@cefexchange@@VPrintToPDF@protobuf@2@$1?PrintToPDFFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VPrintToPDFMessage@cefexchange@@VPrintToPDF@protobuf@2@$1?PrintToPDFFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VProcessExitMessage@cefexchange@@VProcessExit@protobuf@2@$1?ProcessExitFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VProcessExitMessage@cefexchange@@VProcessExit@protobuf@2@$1?ProcessExitFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VScreenShotMessage@cefexchange@@VScreenShot@protobuf@2@$1?ScreenShotFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VScreenShotMessage@cefexchange@@VScreenShot@protobuf@2@$1?ScreenShotFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VSetAllWindowActivatedMessage@cefexchange@@VSetAllWindowActivated@protobuf@2@$1?SetAllWindowActivatedFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VSetAllWindowActivatedMessage@cefexchange@@VSetAllWindowActivated@protobuf@2@$1?SetAllWindowActivatedFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VSetAllowNavigationMessage@cefexchange@@VSetAllowNavigation@protobuf@2@$1?SetAllowNavigationFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VSetAllowNavigationMessage@cefexchange@@VSetAllowNavigation@protobuf@2@$1?SetAllowNavigationFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VSetCommandMessage@cefexchange@@VSetCommand@protobuf@2@$1?SetCommandFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VSetCommandMessage@cefexchange@@VSetCommand@protobuf@2@$1?SetCommandFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
